country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,10.3,,13.6,18.6,,22.8,,21.8,21.2,,,,22.5,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,6.27,,,,,,,,20,,,,,,,13.7,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,75.1,,,60.1,,,,69.3,,,,,,,,,46,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,,,,,,,70.1,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,,57.1,57.1,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,,,,,,,,,,,,,,,,,,,65.2,,,62,,,67.8,,,,66.9,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,69.6,,,,65.7,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,55.4,,,,,51.1,,,,,54.9,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,15.7,,20,,,9.11,,,,22.7,21.9,,31.7,,,,28.5,28.5,,,,,,,
Belgium,,,,,,72,,,,,,,,,,87,,,,,,,81,,,,,,,,,78.4,,,,,,,,,,,,,,,,,,73.7,,,66.8,,,,,66.7,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,16.4,,,,,18.6,,,,,17,,,,,,12.9,,17.9,,,,15.5,,,,22.4,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,,,,,,11.9,,,,13.8,,,17.5,,,,16.2,,,,18.4,21.2,25.4,25.7,,32.5,29.6,33.8,34,,
Bangladesh,,,,,,,,,,,,,,,,7.9,,,,12.1,18.6,,,19.1,,25.3,,,31.4,,39.9,,,44.9,,,49.8,,,54.3,50.2,,,58.5,,,55.8,,,,61.2,,61.8,62.4,,62.8,,61.9,62.7,,,64,,
Bulgaria,,,,,,,,,,,,,,,,75.1,,,,,,,,,,,,,,,,,,,85.9,,,63.4,,,,,,,64.4,,70.1,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,,,61.8,,,,,53.4,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,35.7,,,,,,46,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,,,,72.6,,,,,,,63.1,,,,,71.2,,52.6,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,,,,56.1,,,,,,,,,,,,55.2,,,,,51.4,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,45.3,,,,48.3,,53.4,,,58.4,,,,,60.6,,,,,,,,66.5,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,,,,,,,,,,76.7,,,,,,,,,,,80.6,,,,,,80.2,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,59.2,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,,,,,65.6,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,33,,,,,,,,47.2,,,,44.4,,,,,,,69.7,,,,,,,,,,67.4,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,27.9,,,,,,19,,,,15.2,,,,,,,,,17.8,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,74.7,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,71.2,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,73,,,,,71.6,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,76.3,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,,,,86.9,,,,,84.6,,,,,,,,,,,84.5,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,11.4,,,,,15,,,,,,,14.6,,,,,,18.2,,,,15.5,22.3,21.5,,25.5,21,32,,
Cameroon,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,16.1,,,,,,,19.3,,25.2,,,,26,,29.2,,,,,23.4,,,34.3,,,,19.3,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,7.7,,,,,,,,,,31.4,,,,,,20.6,,,17.7,,,,20.4,,,,28.1,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,44.7,,,30.1,,,,,,,,,
Colombia,,,,,,,,,20.5,,,,,,,42.5,,,,48.5,,,,,,64.8,,,,66.1,,,,,72.2,,,,,76.9,,,,,78.2,,,,,79.1,,,,,81,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,25.8,,,,,,,,,,,,19.4,,,,,,,,,,11.6,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,,,,,52.9,,,,,,,61.3,,,,,,,,,,,,,55.8,,,,,,
Costa Rica,,,,,,,,,,,,,,,,64.4,,63.5,,,65.2,,,,,69,,,,,,,75,,,,,,80,,,,,,,,,,,82.1,76.2,,,,77.8,,,70.9,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,73.3,,,,,,,,,,,74.3,,,73.7,,,,,69.1,,,62.1,,
Czech Republic,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,68.9,,,,72.3,,,,,,,,78.2,,,86.3,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,70.1,,82.2,,,,,,,,,,,,,77.9,,,,,,,70,,,,,,,,,,,,,68.4,,,50.4,,,80.3,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,17.8,,,,,,19,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,62.3,,,,,,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,67,,,,,63,,,,,,,,,,,,,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,31.8,,,,,42,,,39.3,,,49.8,,,,,56.4,,,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,73,,,71.9,69.5,,,,,62.8,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,50.7,,,56.9,,,,,64,,57,,,,61.4,,,,,,,57.1,,,,,,53.6,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,35,,,39.2,,,,,44.3,,52.9,,,,,56.8,,,,,66.3,,,,,72.7,,,,,,,,80.1,,74.7,,,,77.9,,,,,,
Egypt,,,,,,,,,,,,,,,24.9,,,,,31.4,,,,30.3,,,,37.8,,,47.6,47.1,,,47.9,,54.5,51.8,,56.1,,,60,,59.2,,,60.3,,,,,,58.5,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,,,,,,,,8.7,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,47.1,,,,,,,,62.1,,,,,,,,,,81.1,,,,71.9,,,,,,,65.7,,,70.1,,,,,,,,,62.1,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,,,63.4,66.7,,,,64.1,,,,75.1,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,3.3,,,8.1,,,,,14.7,,,,,,28.6,,,42,36.9,35.9,36.3,40,41.4,37.7,36.1,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4,,78.8,,,,,,,79.5,,,,,,,,74.2,,,,,,,,85.5,,,,,,,,,
Fiji,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,
France,,,,,,,,,,,,,,,,,,78.7,,,,,,,,,,81.2,,,,,,74.6,,,,,,,,,,,76.6,,,75,,78.4,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,31.1,,,,,,,,,24.8,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,82,,,,,83,76,80,87.7,,84,84,82,82,,,84,,,76.1,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,31.5,45.9,,,32.2,53.4,,,,,,,,39.3,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,12.9,,,,,20.3,,,,,22,,,,,25.2,,,16.6,,23.5,,,34.7,,19.6,26.7,32.9,28.2,30.8,27.2,,,,36.3,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,6.2,,,,,,9.1,,,,,,,5.6,,,,8.64,,10.9,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,9.49,17.5,,,,,,,,,13.3,,,9,,,,,16.7,,18.9,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,,,,,,10.3,,,,14.2,,,,16,,,,,21.2,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,,,12.6,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,18.2,,,,,25,,,,23.2,,,,,,,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,,,,,60.6,,,,,,,,,
Guyana,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,38.2,,,,,,,,37.3,,,,,34.6,,34.2,,42.5,,,,,33.9,,,,,,29.9,,,,
"Hong Kong, China",,,,,,,42,,,,,49.6,,,,,71.9,,,,,72.3,,,,,80.8,,,,,86,,,,,86,,,,,84,,,,,79.5,,,,,74.8,,,,,66.7,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,26.9,,,34.9,,,40.6,,,,,46.7,,,,49.2,,,,,61.8,,,,,65.2,,,,,,73.2,,,,,,,69.4,,,,,
Haiti,,,,,,,,,,,,,,,,,18.9,,,,,,6.9,,,,6.7,,10.2,,,,,,18,,,,,28.1,,,,,,32,,,,,,34.5,,,,,34.3,,,,,,,
Hungary,,,,,,66.6,,,67,,,73,,74,76,,73.1,,,,,,,,,73.1,,,,,,,80.7,,,,,,,,,,,,,,,,61.8,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,8.6,,,26.3,,,31.2,,,,,,38.5,,47.7,,,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,56.6,60.6,61,61.3,61.9,62,61.6,60,59.4,63.6,,52.5,52.7,51.9,52.4,52.6,
India,,,,,,,,,,,13.6,,,,,,,,,,35.3,,,,,,,44.9,,,,,40.7,,,,,,48.2,46.9,,,,53,54.4,56.3,,54.8,,,,,,,,53.5,,,,,66.7,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,64.8,,,,,73.3,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,48.9,,,64.6,67.8,70,72.8,73.7,72.9,,,73.8,,73.3,,,,,,,,77.4,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,13.7,,,,,,,,,,,43.5,,,,,,49.8,,,,,52.5,,,,,,,52.8,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,,,,65.1,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,38.3,,,54.9,,,,51.4,,,,,,54.6,,,,62,,,,65.7,,,,,,69.1,,,,,72.5,,,,,,,,,,,,,,60.6,,
Jordan,,,,,,,,,,,,26.1,,,,25.2,,,,,,,26,,,,,,,40,,,,,,,52.6,,,,,55.8,,,,,56.8,,59.3,,,61.2,,,,,,51.8,,,,,60.1,
Japan,42,,44.6,,55.5,,53,,52.1,,52.6,,59.3,,60.5,,60.4,,62.2,,,,,57.3,,62.8,64.5,56.3,,57.9,,64,,58.6,,56.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,,,,54.7,39.8,,,,,,58.3,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,66.1,,,,,,,50.7,,,,,51,,,,55.7,,,53,,,,,,
Kenya,,,,,,,,,,,,,,,,,,7,,,,,,17,,,,,26.9,,,,32.7,,,,,39,,,,,39.3,,,,,,45.5,,,,,58,64.1,61.2,60,61.9,59.8,65.1,64.7,62.5,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,47.8,,,,,,36.3,,41.9,,,,39.4,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,21.8,,23.8,,,,,40,,,,,50.5,,,,56.3,,,,,,,,61.9,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,,,20,22.3,,,,,,,,,,33.6,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,16,20,,,,,24.2,,,34.9,,44.2,,,54.5,,,57.7,,,70.4,,,77.1,,,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,77.1,,,79.6,,,82.3,,,84.2,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,66.7,,,,
