country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,39,,34.6,,,,,,,49.8,,50.2,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,20,,,,,32.2,,,,,38.4,,,,,,,49.6,,,,,56.3,,,,,,,
Lebanon,,,,,,,,,,,53,,,,,,,,,,,,,61.7,,,,,,,,,,,,61.1,,,,62.7,,,,58,,,,,54.5,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,20.2,,,,,,,24.9,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,44.5,,,,41.9,,,,,,,27.7,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,34.4,,48.6,,,,,57.8,,,,,61.7,,,,,,66.1,,,,,,,70,,,,,,,68.4,,,,,,,,,64.6,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,28.6,,,,,30.4,40.6,38,,37.3,,,,,47,,63.4,,,60.2,,,,64.9,,,,,,67.4
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,,,,,,65.1,,,68.6,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,19.4,,,,25.5,,,35.8,,,,,41.5,,,50.3,,58.4,,,,,,,63,,,,,,,67.4,,,,,,,70.8,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,,59.5,,,,,,,,56,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,19.4,,25,18.8,,,,27.1,,,,,39.9,,,,39.8,,,,47.9,44.4,,,49.7,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,42,,,,,39,,,,,34.7,,,,,,,,18.8,,,,,,,
Mexico,,,,,,,,,,,,,,,,,30.3,40,37.8,,,47.7,,,,,52.7,,,,,63.1,,,66.5,,68.4,,,,,,74.5,,,70.9,,,72.5,,,,,72.3,66.9,,,73.1,,,,,71.8,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,59.9,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,6.7,,,,,8.1,,,,,8.2,,,,9.8,,,10.3,,15.6,,,17.2,,,,,,
Malta,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,32.7,,,,32.5,,,,,,41,,,,,,,,,52.2,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,39.6,,,,,,,23.2,,,,,20.7,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,59.9,,67.4,,,69,,66,,,55.2,,,54.9,,54.6,,,,,48.1,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,16.5,,,,,16.2,11.6,,11.6,,,,27.1,,,,,,,,26.4,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,4.1,,,,,,,,,,8,,,,,,9.3,,,,11.4,,,,17.8,,,,,,14.3,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,74.6,,,,,,,,,,,75.9,,,,,,,,,,,,63.8,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,13,,,,21.9,,,,30.6,,,,32.5,,41,,,,46.1,,,,58.6,,59.2,,,,65.6,,,,
Malaysia,,,,,,,8.7,,,,,,,33,,,,,,,,,,,51.4,,,48.3,,,,,,55.1,,,,,,,,,,49,,,,,,,,,,52.2,,,,,,,,42.8,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,,,56.1,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,,,13.9,,,14.7,17,11.1,,,,11,14.6,15.3,
Nigeria,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,6,,,,,,,,,15.2,,,,12.6,,,,14.7,14.6,,,17.5,13.5,15.1,,,22.1,13.4,16.6,,,21.6,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,,80.4,,,,,,,,,,,,
Netherlands,,,,,,,,,59,,,,,,75,,,,,,,76.8,,,,,,76.3,,,,,78.5,,,,,75,,,,,75,,,,,75,,,,,73,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,2.4,,,,,6.8,,,,,15.1,,,,,,24.1,,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,49.7,,,49.6,,52.6,,,46.7,,,57.2,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,,,,29.7,,,,,,,,,,
Pakistan,,,,,,,,,5.5,,,,,,5.4,,,,,3.3,,,,,9.1,,,,,,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,29,35.4,32,,,,34.2,34,,,,,
Panama,,,,,,,,,,,,,,,,53.9,,,60.6,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,62.8,,50.8,,,,,,,,,
Peru,,,,,,,,,,26,,,,,,,,31.4,,,41,,,,,45.8,,,,,,59,,,,64.2,,,,68.9,,,,,,71.3,,72.4,73.2,74.4,75.4,75.5,74,74.6,74.6,76.2,75.4,76.3,75.9,77.4,78.1,78,77.3,
Philippines,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,40,,50.7,48.1,47,47.8,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,,,,54.3,,,,,58.3,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,32.4,,,,,,,,,,,,36.7,,,,,,
Poland,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,,,,,,50.5,,,63.2,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,,,,,67.3,,,,,68.6,,67.6,,69.1,,,,70.6,,,,78.2,,,70.2,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,,,,,,,,73.9,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,28.6,,37.7,,,,,,,,44.8,,,48.4,,,,,,55.9,,62.3,,,,,,72.8,,,,79.4,,,,,,,,68.4,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,51.4,,,,50.8,,50.2,,,,52.5,,,,57.2,,,,,,57.3,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,43.2,,,,,,,,,,,,,,37.5,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,,,63.8,,,,,70.3,69.8,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,66.8,63.4,65.3,,,,,,,,68.5,,,63,,,64.9,68,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,21.2,,,,,,,,13.2,,,,,17.4,,,36.4,,51.6,,,,,53.2,,,,,64.1,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,20.8,,,,,,,,23.8,,,,,,,,,24.6,,,27.6,,,,40,
Sudan,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,8.7,,,9.9,,,,,,7,,,,,,,9.5,,,,9.06,,,,12.8,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,3.9,,,,,,,,11.3,,,,,,,7.5,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,,17.8,22.2,23.3,25.1,27.8,27.1,26.9,,,,26.5,
Singapore,,,,,,,,,,,,,60.1,,,,71.3,,,,,74,,,,,67,,,,,65,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,,29.3,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,,,,,,5.25,,8.2,,11,,,16.6,,,,22.5,,21.2,,,,,
El Salvador,,,,,,,,,,,,,,,21.6,,,34.4,,,,,,,47.3,,,47.1,,,,,53.3,,,,,59.7,,,,,67.3,,,,,72.5,,,,,,71.8,,,,,,,53.6,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,14.6,,,,,,,,,,,,,6.9,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,,,41.3,,,,60.8,,,,58.4,,,,,62.3,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,4,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,30.7,,,38.4,,,,,40.5,,,,,49.7,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,,,45.6,,,,47.6,,,,,,,,39.1,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,,27.8,,,,,,,50.6,,,65.2,,,,66.1,,,,,,,,57.7,,
Syria,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,39.6,,,,,,,,46.6,,,,,58.3,,,53.9,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,7.87,,,,11.1,,,,,,4.83,,,,,5.7,,,,8.1,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,23.5,,25.7,,,,,,16.4,,,,15.2,,,,19.9,,,23.8,,,,,,,
Thailand,,,,,,,,,,14.8,,,26.3,,33.3,,,53.4,,,58.2,,,62.2,,,65.5,,66.2,,,,73.9,,,73.6,72.2,,,,77.8,,,,,76.7,,,79.6,,,,79.3,,,78.3,,,73,,,72.8,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,37.9,,37.1,,,,,27.9,,,,,29.3,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,,,,,48,,,,,,,,,,50.2,,,49.7,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,22.6,,,26.7,,,,8,,10,,,,19.8,,,22.3,,,,,,26,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,29.3,,,,,
Trinidad and Tobago,,,,,,,,,,,44,,,,,,52,,,,,,,,,,52.7,,,,,,,,,,,,,38.2,,,,,,42.5,,,,,40.3,,,,,,,,,,,36.5,,
Tunisia,,,,,,,,,,,,,,,,,,31.4,,,,,41.1,,,,,49.8,,,,,,,60,,,,,65.5,62.6,,,,,60.2,,,,,,62.5,,,,,,50.7,,,,,54,
Turkey,,,22.1,,,,,31.6,,,,,36.8,,,,,50.4,,,,,50.6,,,,,63.3,,,,,62.6,,,,,63.9,,,,,71,,,,,73,,,,,73.5,,,,,69.8,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,,,,,,,,,23.7,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,20.4,,18.4,,,25.4,,,,,28.2,26.4,,,,,34.4,,,,,,38.4,,,,,,37.6,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,14.8,,,,,,22.8,,,,19.7,23.7,,,,,30,,,27.3,34.7,39,41,42.6,,45.2,51.5,43,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,71.6,,,,,65.6,,66.7,,,,,65.5,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,
USA,,,,,66.5,,,,,67.6,,,69.6,,79,67.7,,,,,,69.7,,,,,,74.3,,70.7,,,,,76.4,,,,,,,72.8,,,,,,77.1,,76.4,,,,,72.7,,75.9,,73.9,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,67.2,,67.7,,,,64.9,,,,,,,,,,,,,,,,58.8,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,58,,,,,70.3,,,,,,,,,,,,75,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,,,,,,65,,,75.3,71.9,,74.2,73.9,78.5,75,75.7,,75.7,79,79.4,,78,77.8,76.2,77.2,75.7,75.7,77.6,76.4,76.5,,,72.8,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,49,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,26.9,,,,,,16.6,,,,
Yemen,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,9.7,,,,,20.8,,,,,,23.1,,,27.7,,,,,,,33.5,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,,,,56.3,,,,,59.9,,,,,,,,,,,,,54.6,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,25.9,,,22.1,,,34.2,,,,,40.8,,,,,,,49,,,,49.6,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,43.1,,,,,,48.1,,,,,53.5,,,,,,,60.2,,,64.9,,58.5,,,67,66.8,,,,,,,,,
